Interval [s],Power [kW]
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-2.6196
100,-2.6196
100,-2.6196
100,-2.6196
100,-2.6196
100,-2.6196
100,-2.6196
100,-2.6196
100,-2.6196
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,9.432
100,9.432
100,9.432
100,9.432
100,9.432
100,9.432
100,9.432
100,9.432
100,9.432
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,10.611
100,10.611
100,10.611
100,10.611
100,10.611
100,10.611
100,10.611
100,10.611
100,10.611
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,-6.5502
100,-6.5502
100,-6.5502
100,-6.5502
100,-6.5502
100,-6.5502
100,-6.5502
100,-6.5502
100,-6.5502
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-1.3104
100,-1.3104
100,-1.3104
100,-1.3104
100,-1.3104
100,-1.3104
100,-1.3104
100,-1.3104
100,-1.3104
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-2.6202
100,-2.6202
100,-2.6202
100,-2.6202
100,-2.6202
100,-2.6202
100,-2.6202
100,-2.6202
100,-2.6202
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,10.611
100,10.611
100,10.611
100,10.611
100,10.611
100,10.611
100,10.611
100,10.611
100,10.611
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,10.611
100,10.611
100,10.611
100,10.611
100,10.611
100,10.611
100,10.611
100,10.611
100,10.611
100,-6.5502
100,-6.5502
100,-6.5502
100,-6.5502
100,-6.5502
100,-6.5502
100,-6.5502
100,-6.5502
100,-6.5502
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.7894
100,-11.7894
100,-11.7894
100,-11.7894
100,-11.7894
100,-11.7894
100,-11.7894
100,-11.7894
100,-11.7894
100,-11.7894
100,-11.7894
100,-11.7894
100,-11.7894
100,-11.7894
100,-11.7894
100,-11.7894
100,-11.7894
100,-11.7894
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,-11.7894
100,-11.7894
100,-11.7894
100,-11.7894
100,-11.7894
100,-11.7894
100,-11.7894
100,-11.7894
100,-11.7894
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-2.6202
100,-2.6202
100,-2.6202
100,-2.6202
100,-2.6202
100,-2.6202
100,-2.6202
100,-2.6202
100,-2.6202
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-1.3098
100,-1.3098
100,-1.3098
100,-1.3098
100,-1.3098
100,-1.3098
100,-1.3098
100,-1.3098
100,-1.3098
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,11.79
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,-11.79
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0
100,0